Unnamed: 0,attendance,subject,name,Late,late duration
1,60,herbology,Jorge Sullivan,,0
3,60,herbology,Susan Wagner,,0
6,60,herbology,Stephanie Collins,,0
11,55,herbology,Kimberly Smith,late,5
12,60,herbology,Jennifer Summers,,0
16,47,herbology,Walter Pratt,late,13
18,60,herbology,Tasha Rodriguez,,0
20,60,herbology,Kimberly Maynard,,0
24,48,herbology,Mary Alvarez,late,12
26,60,herbology,Sarah Villanueva,,0
932,60,herbology,Brian Hamilton,,0
933,0,herbology,Susan Levy,late,60
934,60,herbology,Sean Green,,0
936,60,herbology,Jennifer Summers,,0
938,60,herbology,Dana Nguyen,,0
941,60,herbology,Bobby Flores,,0
942,60,herbology,Tasha Rodriguez,,0
944,60,herbology,Kimberly Maynard,,0
955,60,herbology,Whitney Stark,,0
31,59,herbology,Whitney Stark,late,1
33,60,herbology,Norma Fisher,,0
35,60,herbology,Elizabeth Woods,,0
38,60,herbology,Theodore Mcgrath,,0
39,60,herbology,Stephanie Collins,,0
47,0,herbology,Dana Nguyen,late,60
50,60,herbology,Bobby Flores,,0
51,60,herbology,Tasha Rodriguez,,0
53,60,herbology,Kimberly Maynard,,0
54,60,herbology,Laurie Wallace,,0
56,60,herbology,Collin Lopez,,0
963,60,herbology,Stephanie Collins,,0
965,60,herbology,Brian Hamilton,,0
968,60,herbology,Kimberly Smith,,0
975,60,herbology,Tasha Rodriguez,,0
978,0,herbology,Laurie Wallace,late,60
301,60,herbology,Peter Montgomery,,0
303,60,herbology,Stephanie Collins,,0
314,60,herbology,Bobby Flores,,0
319,60,herbology,Janice Johnston,,0
325,60,herbology,Desiree Cain,,0
327,60,herbology,Lauren Hayes,,0
332,60,herbology,Elizabeth Woods,,0
333,60,herbology,Susan Wagner,,0
340,60,herbology,Sean Green,,0
345,60,herbology,Cheryl Bradley,,0
349,60,herbology,Michelle Kelley,,0
354,60,herbology,Mary Alvarez,,0
356,60,herbology,Sarah Villanueva,,0
359,60,herbology,Stephanie Lawrence,,0
363,60,herbology,Norma Fisher,,0
365,60,herbology,Elizabeth Woods,,0
367,60,herbology,Peter Montgomery,,0
370,60,herbology,Stephanie Sutton,,0
372,60,herbology,Susan Levy,,0
382,60,herbology,Michelle Kelley,,0
388,60,herbology,Peter Mcdowell,,0
398,45,herbology,Elizabeth Woods,late,15
406,60,herbology,Sean Green,,0
411,60,herbology,Cheryl Bradley,,0
420,60,herbology,Mary Alvarez,,0
438,60,herbology,Susan Levy,,0
439,60,herbology,Sean Green,,0
440,60,herbology,Kimberly Smith,,0
453,60,herbology,Mary Alvarez,,0
455,60,herbology,Sarah Villanueva,,0
458,60,herbology,Stephanie Lawrence,,0
463,60,herbology,Jorge Sullivan,,0
477,60,herbology,Cheryl Bradley,,0
479,60,herbology,Bobby Flores,,0
487,60,herbology,Peter Mcdowell,,0
490,60,herbology,Desiree Cain,,0
492,60,herbology,Lauren Hayes,,0
494,60,herbology,Angela Salazar,,0
497,60,herbology,Elizabeth Woods,,0
506,60,herbology,Kimberly Smith,,0
510,0,herbology,Cheryl Bradley,late,60
513,53,herbology,Tasha Rodriguez,late,7
514,60,herbology,Michelle Kelley,,0
519,60,herbology,Mary Alvarez,,0
521,60,herbology,Sarah Villanueva,,0
523,60,herbology,Desiree Cain,,0
525,60,herbology,Lauren Hayes,,0
526,60,herbology,Whitney Stark,,0
536,60,herbology,Brian Hamilton,,0
538,60,herbology,Sean Green,,0
542,57,herbology,Dana Nguyen,late,3
543,60,herbology,Cheryl Bradley,,0
547,60,herbology,Michelle Kelley,,0
548,60,herbology,Kimberly Maynard,,0
554,60,herbology,Sarah Villanueva,,0
556,60,herbology,Desiree Cain,,0
565,60,herbology,Peter Montgomery,,0
568,60,herbology,Stephanie Sutton,,0
571,60,herbology,Sean Green,,0
575,60,herbology,Dana Nguyen,,0
577,60,herbology,Walter Pratt,,0
578,60,herbology,Bobby Flores,,0
593,60,herbology,Angela Salazar,,0
595,60,herbology,Jorge Sullivan,,0
599,60,herbology,Theodore Mcgrath,,0
60,60,herbology,Kimberly Myers,,0
61,60,herbology,Desiree Cain,,0
68,60,herbology,Elizabeth Woods,,0
70,60,herbology,Peter Montgomery,,0
89,60,herbology,Collin Lopez,,0
601,0,herbology,Stephanie Sutton,late,60
603,60,herbology,Susan Levy,,0
606,0,herbology,Jennifer Summers,late,60
608,60,herbology,Dana Nguyen,,0
609,60,herbology,Cheryl Bradley,,0
614,60,herbology,Kimberly Maynard,,0
619,60,herbology,Peter Mcdowell,,0
621,60,herbology,Kimberly Myers,,0
629,60,herbology,Elizabeth Woods,,0
639,60,herbology,Jennifer Summers,,0
649,60,herbology,Janice Johnston,,0
658,60,herbology,Whitney Stark,,0
660,60,herbology,Norma Fisher,,0
662,60,herbology,Elizabeth Woods,,0
663,60,herbology,Susan Wagner,,0
665,60,herbology,Theodore Mcgrath,,0
668,60,herbology,Brian Hamilton,,0
670,60,herbology,Sean Green,,0
674,60,herbology,Dana Nguyen,,0
676,41,herbology,Walter Pratt,late,19
678,55,herbology,Tasha Rodriguez,late,5
679,60,herbology,Michelle Kelley,,0
687,60,herbology,Kimberly Myers,,0
701,60,herbology,Brian Hamilton,,0
710,60,herbology,Bobby Flores,,0
713,60,herbology,Kimberly Maynard,,0
714,60,herbology,Laurie Wallace,,0
721,60,herbology,Desiree Cain,,0
731,60,herbology,Theodore Mcgrath,,0
746,60,herbology,Kimberly Maynard,,0
747,60,herbology,Laurie Wallace,,0
750,60,herbology,Mary Alvarez,,0
763,60,herbology,Peter Montgomery,,0
764,60,herbology,Theodore Mcgrath,,0
781,60,herbology,Janice Johnston,,0
785,60,herbology,Sarah Villanueva,,0
786,60,herbology,Kimberly Myers,,0
788,60,herbology,Stephanie Lawrence,,0
800,60,herbology,Brian Hamilton,,0
801,60,herbology,Susan Levy,,0
811,60,herbology,Michelle Kelley,,0
812,60,herbology,Kimberly Maynard,,0
815,60,herbology,Collin Lopez,,0
820,60,herbology,Desiree Cain,,0
824,60,herbology,Angela Salazar,,0
827,60,herbology,Elizabeth Woods,,0
835,60,herbology,Sean Green,,0
846,46,herbology,Laurie Wallace,late,14
851,60,herbology,Sarah Villanueva,,0
852,60,herbology,Kimberly Myers,,0
863,60,herbology,Theodore Mcgrath,,0
873,60,herbology,Cheryl Bradley,,0
880,60,herbology,Janice Johnston,,0
890,60,herbology,Angela Salazar,,0
895,60,herbology,Peter Montgomery,,0
896,60,herbology,Theodore Mcgrath,,0
97,60,herbology,Whitney Stark,,0
98,60,herbology,Angela Salazar,,0
99,60,herbology,Norma Fisher,,0
102,60,herbology,Susan Wagner,,0
106,60,herbology,Stephanie Sutton,,0
112,60,herbology,April Snyder,,0
115,60,herbology,Walter Pratt,,0
118,60,herbology,Michelle Kelley,,0
900,60,herbology,Susan Levy,,0
901,60,herbology,Sean Green,,0
907,60,herbology,Walter Pratt,,0
912,60,herbology,Laurie Wallace,,0
921,60,herbology,Lauren Hayes,,0
923,60,herbology,Angela Salazar,,0
928,60,herbology,Peter Montgomery,,0
122,45,herbology,Collin Lopez,late,15
126,60,herbology,Kimberly Myers,,0
129,60,herbology,Lauren Hayes,,0
137,60,herbology,Theodore Mcgrath,,0
141,60,herbology,Susan Levy,,0
152,60,herbology,Kimberly Maynard,,0
164,60,herbology,Angela Salazar,,0
167,60,herbology,Elizabeth Woods,,0
170,60,herbology,Theodore Mcgrath,,0
172,60,herbology,Stephanie Sutton,,0
175,60,herbology,Sean Green,,0
178,60,herbology,April Snyder,,0
182,60,herbology,Bobby Flores,,0
183,60,herbology,Tasha Rodriguez,,0
185,60,herbology,Kimberly Maynard,,0
188,60,herbology,Collin Lopez,,0
193,60,herbology,Desiree Cain,,0
196,60,herbology,Whitney Stark,,0
207,60,herbology,Susan Levy,,0
210,60,herbology,Jennifer Summers,,0
215,60,herbology,Bobby Flores,,0
219,60,herbology,Laurie Wallace,,0
220,0,herbology,Janice Johnston,late,60
223,60,herbology,Peter Mcdowell,,0
229,60,herbology,Whitney Stark,,0
230,60,herbology,Angela Salazar,,0
237,60,herbology,Stephanie Collins,,0
244,0,herbology,April Snyder,late,60
248,60,herbology,Bobby Flores,,0
261,60,herbology,Lauren Hayes,,0
272,60,herbology,Brian Hamilton,,0
275,60,herbology,Kimberly Smith,,0
284,42,herbology,Kimberly Maynard,late,18
287,60,herbology,Collin Lopez,,0
297,60,herbology,Norma Fisher,,0
